phrase	phrase_ipa	oronym	oronym_ipa	distance
he avoided	hiəvɔɪdɪd	he + abided	hiəbaɪdɪd	0.1042
have inherited it	hævɪnhɛɹətɪdɪt	halve + inherited + it	hævɪnhɛɹətɪdɪt	0.0000
have inherited it	hævɪnhɛɹətɪdɪt	halve + inherit + ihde + it	hævɪnhɛɹətɪdɪt	0.0000
have inherited it	hævɪnhɛɹətɪdɪt	halve + inherited + eat	hævɪnhɛɹətɪdit	0.0179
have inherited it	hævɪnhɛɹətɪdɪt	havin' + heritage's	hævɪnhɛɹətɪdʒɪz	0.0952
between Union	bɪtwinjunjən	between + yoon + youn	bɪtwinjunjən	0.0000
between Union	bɪtwinjunjən	between + yoon + yun	bɪtwinjunjən	0.0000
between Union	bɪtwinjunjən	between + runion	bɪtwinɹunjən	0.0278
between Union	bɪtwinjunjən	between + juenemann	bɪtwinjunmən	0.0625
National Championship	næʃnəɫtʃæmpiənʃɪp	national + champion + ship	næʃnəɫtʃæmpiənʃɪp	0.0000
National Championship	næʃnəɫtʃæmpiənʃɪp	national + champion + shipp	næʃnəɫtʃæmpiənʃɪp	0.0000
National Championship	næʃnəɫtʃæmpiənʃɪp	national + cham + paean + ship	næʃnəɫtʃæmpiənʃɪp	0.0000
National Championship	næʃnəɫtʃæmpiənʃɪp	national + cham + paean + shipp	næʃnəɫtʃæmpiənʃɪp	0.0000
In he was promoted	ɪnhiwɑzpɹəmoʊtɪd	in + he + wah's + promoted	ɪnhiwɑzpɹəmoʊtɪd	0.0000
In he was promoted	ɪnhiwɑzpɹəmoʊtɪd	in + hee + waas + promoted	ɪnhiwɑzpɹəmoʊtɪd	0.0000
In he was promoted	ɪnhiwɑzpɹəmoʊtɪd	in + he + waas + promoted	ɪnhiwɑzpɹəmoʊtɪd	0.0000
In he was promoted	ɪnhiwɑzpɹəmoʊtɪd	ince + iwan + promoted	ɪnsiwɑnpɹəmoʊtɪd	0.0417
American politician	əmɛɹɪkənpɑɫətɪʃən	um + ehrich + 'n + politician	əmɛɹɪkənpɑɫətɪʃən	0.0000
American politician	əmɛɹɪkənpɑɫətɪʃən	um + eric + 'n + politician	əmɛɹɪkənpɑɫətɪʃən	0.0000
American politician	əmɛɹɪkənpɑɫətɪʃən	um + erich + 'n + politician	əmɛɹɪkənpɑɫətɪʃən	0.0000
American politician	əmɛɹɪkənpɑɫətɪʃən	um + erick + 'n + politician	əmɛɹɪkənpɑɫətɪʃən	0.0000
Kerala India It is	kɛɹɑɫəɪndiəɪtɪz	kerala + india + it + e's	kɛɹɑɫəɪndiəɪtiz	0.0167
Kerala India It is	kɛɹɑɫəɪndiəɪtɪz	kerala + india + it + e.'s	kɛɹɑɫəɪndiəɪtiz	0.0167
Kerala India It is	kɛɹɑɫəɪndiəɪtɪz	kerala + india + it + e.s	kɛɹɑɫəɪndiəɪtiz	0.0167
Kerala India It is	kɛɹɑɫəɪndiəɪtɪz	kerala + india + it + ease	kɛɹɑɫəɪndiəɪtiz	0.0167
for the District	fɹɝðədɪstɹɪkt	for + the + dis + tricked	fɹɝðədɪstɹɪkt	0.0000
for the District	fɹɝðədɪstɹɪkt	for + the + diss + tricked	fɹɝðədɪstɹɪkt	0.0000
for the District	fɹɝðədɪstɹɪkt	for + the + distract	fɹɝðədɪstɹækt	0.0308
for the District	fɹɝðədɪstɹɪkt	for + the + destruct	fɹɝðədɪstɹəkt	0.0513
the Rugby	ðəɹəɡbi	the + rug + b	ðəɹəɡbi	0.0000
the Rugby	ðəɹəɡbi	the + rug + b.	ðəɹəɡbi	0.0000
the Rugby	ðəɹəɡbi	the + rug + be	ðəɹəɡbi	0.0000
the Rugby	ðəɹəɡbi	the + rug + bea	ðəɹəɡbi	0.0000
is next to Route	ɪznɛkstuɹaʊt	is + next + tew + raut	ɪznɛkstuɹaʊt	0.0000
is next to Route	ɪznɛkstuɹaʊt	is + next + tew + rout	ɪznɛkstuɹaʊt	0.0000
is next to Route	ɪznɛkstuɹaʊt	is + next + tew + route	ɪznɛkstuɹaʊt	0.0000
is next to Route	ɪznɛkstuɹaʊt	is + next + tew + routt	ɪznɛkstuɹaʊt	0.0000
is next to Route	ɪznɛkstuɹaʊt	is + next + thuy + raut	ɪznɛkstuɹaʊt	0.0000
contribution to humor	kɑntɹəbjuʃəntuhjumɝ	contribution + to + humour	kɑntɹəbjuʃəntuhjumɝ	0.0000
contribution to humor	kɑntɹəbjuʃəntuhjumɝ	contribution + thuy + humor	kɑntɹəbjuʃəntuhjumɝ	0.0000
contribution to humor	kɑntɹəbjuʃəntuhjumɝ	contribution + thuy + humour	kɑntɹəbjuʃəntuhjumɝ	0.0000
contribution to humor	kɑntɹəbjuʃəntuhjumɝ	contribution + tue + humor	kɑntɹəbjuʃəntuhjumɝ	0.0000
in December	ɪndɪsɛmbɝ	in. + december	ɪndɪsɛmbɝ	0.0000
in December	ɪndɪsɛmbɝ	inn + december	ɪndɪsɛmbɝ	0.0000
in December	ɪndɪsɛmbɝ	in. + diss + ember	ɪndɪsɛmbɝ	0.0000
in December	ɪndɪsɛmbɝ	inn + dis + ember	ɪndɪsɛmbɝ	0.0000
held in	hɛɫdɪn	hehl + din	hɛɫdɪn	0.0000
held in	hɛɫdɪn	hehl + dinh	hɛɫdɪn	0.0000
held in	hɛɫdɪn	held + in.	hɛɫdɪn	0.0000
held in	hɛɫdɪn	held + inn	hɛɫdɪn	0.0000
best for	bɛstfɹɝ	beste + for	bɛstfɹɝ	0.0000
led by Arthur	ɫɛdbaɪɑɹθɝ	led + bye + arthur	ɫɛdbaɪɑɹθɝ	0.0000
led by Arthur	ɫɛdbaɪɑɹθɝ	lead + bye + arthur	ɫɛdbaɪɑɹθɝ	0.0000
led by Arthur	ɫɛdbaɪɑɹθɝ	led + buy + arthur	ɫɛdbaɪɑɹθɝ	0.0000
led by Arthur	ɫɛdbaɪɑɹθɝ	led + bae + arthur	ɫɛdbaɪɑɹθɝ	0.0000
strip Skippy	stɹɪpskɪpi	strip's + kibbee	stɹɪpskɪbi	0.0333
strip Skippy	stɹɪpskɪpi	strip's + kibbey	stɹɪpskɪbi	0.0333
strip Skippy	stɹɪpskɪpi	strip's + kibby	stɹɪpskɪbi	0.0333
strip Skippy	stɹɪpskɪpi	strip's + tippie	stɹɪpstɪpi	0.0333
believe and then	bɪɫivəndðɛn	believe + und + then	bɪɫivəndðɛn	0.0000
believe and then	bɪɫivəndðɛn	bui + leave + and + then	bɪɫivəndðɛn	0.0000
believe and then	bɪɫivəndðɛn	bui + leave + und + then	bɪɫivəndðɛn	0.0000
believe and then	bɪɫivəndðɛn	bui + leve + and + then	bɪɫivəndðɛn	0.0000
this song	ðɪssɔŋ	this' + song	ðɪssɔŋ	0.0000
this song	ðɪssɔŋ	this + hong	ðɪshɔŋ	0.0556
this song	ðɪssɔŋ	thee + stong	ðistɔŋ	0.0972
Union She	junjənʃi	union + shi	junjənʃi	0.0000
Union She	junjənʃi	union + shieh	junjənʃi	0.0000
Union She	junjənʃi	union + shih	junjənʃi	0.0000
Union She	junjənʃi	union + sze	junjənʃi	0.0000
Newbury Road is the	nubɛɹiɹoʊdɪzðə	newberry + rode + is + the	nubɛɹiɹoʊdɪzðə	0.0000
Newbury Road is the	nubɛɹiɹoʊdɪzðə	newberry + rhoad + is + the	nubɛɹiɹoʊdɪzðə	0.0000
Newbury Road is the	nubɛɹiɹoʊdɪzðə	newberry + roed + is + the	nubɛɹiɹoʊdɪzðə	0.0000
Newbury Road is the	nubɛɹiɹoʊdɪzðə	newberry + rhode + is + the	nubɛɹiɹoʊdɪzðə	0.0000
Newbury Road is the	nubɛɹiɹoʊdɪzðə	newberry + road + is + the	nubɛɹiɹoʊdɪzðə	0.0000
military officer and	mɪɫətɛɹiɔfɪsɝənd	military + officer + und	mɪɫətɛɹiɔfɪsɝənd	0.0000
Bengal Legislative Assembly election	bɛŋɡəɫɫɛdʒəsɫeɪtɪvəsɛmbɫiɪɫɛkʃən	bengel + legislative + assembly + election	bɛŋɡəɫɫɛdʒəsɫeɪtɪvəsɛmbɫiɪɫɛkʃən	0.0000
Bengal Legislative Assembly election	bɛŋɡəɫɫɛdʒəsɫeɪtɪvəsɛmbɫiɪɫɛkʃən	bengel + legislative + assembly + ejection	bɛŋɡəɫɫɛdʒəsɫeɪtɪvəsɛmbɫiɪdʒɛkʃən	0.0242
Journal of Play The	dʒɝnəɫəvpɫeɪðə	journal + of + pleva	dʒɝnəɫəvpɫeɪvə	0.0462
but after an	bətæftɝæn	but + after + ahn	bətæftɝæn	0.0000
but after an	bətæftɝæn	but + after + ane	bətæftɝæn	0.0000
but after an	bətæftɝæn	but + after + ann	bətæftɝæn	0.0000
but after an	bətæftɝæn	but + after + anne	bətæftɝæn	0.0000
tour headlined by	tʊɹhɛdɫaɪndbaɪ	tour + headlined + bae	tʊɹhɛdɫaɪndbaɪ	0.0000
tour headlined by	tʊɹhɛdɫaɪndbaɪ	tour + headlined + bi	tʊɹhɛdɫaɪndbaɪ	0.0000
tour headlined by	tʊɹhɛdɫaɪndbaɪ	tour + headlined + buy	tʊɹhɛdɫaɪndbaɪ	0.0000
tour headlined by	tʊɹhɛdɫaɪndbaɪ	tour + headlined + bye	tʊɹhɛdɫaɪndbaɪ	0.0000
Grand Ballon French pronunciation	ɡɹændbæɫənfɹɛntʃpɹoʊnənsieɪʃən	grande + ballon + french + pronunciation	ɡɹændbæɫənfɹɛntʃpɹoʊnənsieɪʃən	0.0000
building in Japan	bɪɫdɪŋɪndʒəpæn	building + in. + japan	bɪɫdɪŋɪndʒəpæn	0.0000
building in Japan	bɪɫdɪŋɪndʒəpæn	billed + ing + in + japan	bɪɫdɪŋɪndʒəpæn	0.0000
building in Japan	bɪɫdɪŋɪndʒəpæn	billed + ing + in. + japan	bɪɫdɪŋɪndʒəpæn	0.0000
building in Japan	bɪɫdɪŋɪndʒəpæn	billed + ng + in + japan	bɪɫdɪŋɪndʒəpæn	0.0000
an increasing number	ænɪnkɹisɪŋnəmbɝ	ahn + increasing + number	ænɪnkɹisɪŋnəmbɝ	0.0000
an increasing number	ænɪnkɹisɪŋnəmbɝ	ahn + increasing + numb + bir	ænɪnkɹisɪŋnəmbɝ	0.0000
an increasing number	ænɪnkɹisɪŋnəmbɝ	ahn + increasing + numb + birr	ænɪnkɹisɪŋnəmbɝ	0.0000
an increasing number	ænɪnkɹisɪŋnəmbɝ	ahn + increasing + numb + bur	ænɪnkɹisɪŋnəmbɝ	0.0000
the architects	ðəɑɹkətɛkts	the + architect's	ðəɑɹkətɛkts	0.0000
selected in the	səɫɛktɪdɪnðə	selected + in. + the	səɫɛktɪdɪnðə	0.0000
selected in the	səɫɛktɪdɪnðə	selected + inn + the	səɫɛktɪdɪnðə	0.0000
selected in the	səɫɛktɪdɪnðə	select + ihde + in + the	səɫɛktɪdɪnðə	0.0000
selected in the	səɫɛktɪdɪnðə	select + ihde + in. + the	səɫɛktɪdɪnðə	0.0000
Canada often on	kænədəɔftənɔn	cana + de + often + aune	kænədəɔftənɔn	0.0000
Canada often on	kænədəɔftənɔn	cana + de + often + on	kænədəɔftənɔn	0.0000
Canada often on	kænədəɔftənɔn	kana + de + often + aune	kænədəɔftənɔn	0.0000
Canada often on	kænədəɔftənɔn	kana + de + often + on	kænədəɔftənɔn	0.0000
Canada often on	kænədəɔftənɔn	cana + du + often + aune	kænədəɔftənɔn	0.0000
to local tradition	tuɫoʊkəɫtɹədɪʃən	tew + local + tradition	tuɫoʊkəɫtɹədɪʃən	0.0000
to local tradition	tuɫoʊkəɫtɹədɪʃən	tew + low + kull + tradition	tuɫoʊkəɫtɹədɪʃən	0.0000
to local tradition	tuɫoʊkəɫtɹədɪʃən	tew + loew + cul + tradition	tuɫoʊkəɫtɹədɪʃən	0.0000
to local tradition	tuɫoʊkəɫtɹədɪʃən	tew + low + cul + tradition	tuɫoʊkəɫtɹədɪʃən	0.0000
to local tradition	tuɫoʊkəɫtɹədɪʃən	tew + low + kuhl + tradition	tuɫoʊkəɫtɹədɪʃən	0.0000
strong gravitational interactions with	stɹɔŋɡɹævɪteɪʃənəɫɪntɝækʃənzwɪθ	strong + gravitational + interactions + withe	stɹɔŋɡɹævɪteɪʃənəɫɪntɝækʃənzwɪθ	0.0000
strong gravitational interactions with	stɹɔŋɡɹævɪteɪʃənəɫɪntɝækʃənzwɪθ	strong + gravitational + interactions + weith	stɹɔŋɡɹævɪteɪʃənəɫɪntɝækʃənzwiθ	0.0081
strong gravitational interactions with	stɹɔŋɡɹævɪteɪʃənəɫɪntɝækʃənzwɪθ	strong + gravitational + interactions + wis	stɹɔŋɡɹævɪteɪʃənəɫɪntɝækʃənzwɪs	0.0108
strong gravitational interactions with	stɹɔŋɡɹævɪteɪʃənəɫɪntɝækʃənzwɪθ	strong + gravitational + interactions + wisch	stɹɔŋɡɹævɪteɪʃənəɫɪntɝækʃənzwɪʃ	0.0108
species of plant	spiʃizəvpɫænt	species + of + plante	spiʃizəvpɫænt	0.0000
species of plant	spiʃizəvpɫænt	species' + of + plant	spiʃizəvpɫænt	0.0000
species of plant	spiʃizəvpɫænt	species' + of + plante	spiʃizəvpɫænt	0.0000
species of plant	spiʃizəvpɫænt	spie + she's + of + plant	spiʃizəvpɫænt	0.0000
between the native	bɪtwinðəneɪtɪv	bit + wein + the + native	bɪtwinðəneɪtɪv	0.0000
between the native	bɪtwinðəneɪtɪv	bui + tween + the + native	bɪtwinðəneɪtɪv	0.0000
between the native	bɪtwinðəneɪtɪv	bit + wien + the + native	bɪtwinðəneɪtɪv	0.0000
between the native	bɪtwinðəneɪtɪv	bit + wean + the + native	bɪtwinðəneɪtɪv	0.0000
to January and produced	tudʒænjuɛɹiəndpɹədust	tew + january + und + produced	tudʒænjuɛɹiəndpɹədust	0.0000
to January and produced	tudʒænjuɛɹiəndpɹədust	tew + january + and + produced	tudʒænjuɛɹiəndpɹədust	0.0000
Second World War It	sɛkəndwɝɫdwɔɹɪt	sec + und + whirled + warrick	sɛkəndwɝɫdwɔɹɪk	0.0222
Second World War It	sɛkəndwɝɫdwɔɹɪt	sec + und + world + warrick	sɛkəndwɝɫdwɔɹɪk	0.0222
Second World War It	sɛkəndwɝɫdwɔɹɪt	sec + und + whirled + moret	sɛkəndwɝɫdmɔɹɪt	0.0333
Second World War It	sɛkəndwɝɫdwɔɹɪt	sec + und + world + moret	sɛkəndwɝɫdmɔɹɪt	0.0333
Second World War It	sɛkəndwɝɫdwɔɹɪt	second + werle + dworin	sɛkəndwɝɫdwɔɹɪn	0.0444
October September was	ɑktoʊbɝsɛptɛmbɝwɑz	och + tober + september + waas	ɑktoʊbɝsɛptɛmbɝwɑz	0.0000
October September was	ɑktoʊbɝsɛptɛmbɝwɑz	och + tober + september + wah's	ɑktoʊbɝsɛptɛmbɝwɑz	0.0000
October September was	ɑktoʊbɝsɛptɛmbɝwɑz	och + tober + september + was	ɑktoʊbɝsɛptɛmbɝwɑz	0.0000
October September was	ɑktoʊbɝsɛptɛmbɝwɑz	och + tobar + september + waas	ɑktoʊbɝsɛptɛmbɝwɑz	0.0000
October September was	ɑktoʊbɝsɛptɛmbɝwɑz	och + tobar + september + wah's	ɑktoʊbɝsɛptɛmbɝwɑz	0.0000
Initially he	ɪnɪʃəɫihi	initially + hee	ɪnɪʃəɫihi	0.0000
Initially he	ɪnɪʃəɫihi	in + isch + allee + he	ɪnɪʃəɫihi	0.0000
Initially he	ɪnɪʃəɫihi	in + isch + allee + hee	ɪnɪʃəɫihi	0.0000
Initially he	ɪnɪʃəɫihi	in. + isch + allee + he	ɪnɪʃəɫihi	0.0000
is the metropolitan train	ɪzðəmɛtɹəpɑɫətəntɹeɪn	is + the + metropolitan + trane	ɪzðəmɛtɹəpɑɫətəntɹeɪn	0.0000
is the metropolitan train	ɪzðəmɛtɹəpɑɫətəntɹeɪn	is + the + metropolitan + crain	ɪzðəmɛtɹəpɑɫətənkɹeɪn	0.0159
is the metropolitan train	ɪzðəmɛtɹəpɑɫətəntɹeɪn	is + the + metropolitan + craine	ɪzðəmɛtɹəpɑɫətənkɹeɪn	0.0159
is the metropolitan train	ɪzðəmɛtɹəpɑɫətəntɹeɪn	is + the + metropolitan + crane	ɪzðəmɛtɹəpɑɫətənkɹeɪn	0.0159
also received commissions	ɔɫsoʊɹəsivdkəmɪʃənz	also + received + commission's	ɔɫsoʊɹəsivdkəmɪʃənz	0.0000
also received commissions	ɔɫsoʊɹəsivdkəmɪʃənz	all + sough + received + commission's	ɔɫsoʊɹəsivdkəmɪʃənz	0.0000
also received commissions	ɔɫsoʊɹəsivdkəmɪʃənz	all + sough + received + commissions	ɔɫsoʊɹəsivdkəmɪʃənz	0.0000
also received commissions	ɔɫsoʊɹəsivdkəmɪʃənz	also + received + commish + unz	ɔɫsoʊɹəsivdkəmɪʃənz	0.0000
skyscraper at	skaɪskɹeɪpɝæt	skye + scraper + at	skaɪskɹeɪpɝæt	0.0000
skyscraper at	skaɪskɹeɪpɝæt	sky + scraper + at	skaɪskɹeɪpɝæt	0.0000
Creek and the Dease	kɹikəndðədis	creak + and + the + dease	kɹikəndðədis	0.0000
Creek and the Dease	kɹikəndðədis	cree + kunde + the + dease	kɹikəndðədis	0.0000
Creek and the Dease	kɹikəndðədis	creak + und + the + dease	kɹikəndðədis	0.0000
Creek and the Dease	kɹikəndðədis	crea + kunde + the + dease	kɹikəndðədis	0.0000
Creek and the Dease	kɹikəndðədis	creak + and + the + d's	kɹikəndðədiz	0.0278
from this	fɹəmðɪs	from + this'	fɹəmðɪs	0.0000
from this	fɹəmðɪs	frum + this	fɹəmðɪs	0.0000
from this	fɹəmðɪs	frum + this'	fɹəmðɪs	0.0000
community park that is	kəmjunətipɑɹkðætɪz	cum + unity + parc + that'd	kəmjunətipɑɹkðætɪd	0.0185
community park that is	kəmjunətipɑɹkðætɪz	cum + unity + park + that'd	kəmjunətipɑɹkðætɪd	0.0185
community park that is	kəmjunətipɑɹkðætɪz	cum + unity + parke + that'd	kəmjunətipɑɹkðætɪd	0.0185
Halvorsen Winge studied	hæɫvɔɹsənwɪndʒstədid	halvorsen + winge + stud + eade	hæɫvɔɹsənwɪndʒstədid	0.0000
Halvorsen Winge studied	hæɫvɔɹsənwɪndʒstədid	halvorsen + winge + stud + ede	hæɫvɔɹsənwɪndʒstədid	0.0000
Halvorsen Winge studied	hæɫvɔɹsənwɪndʒstədid	halvorsen + winge + sta + dede	hæɫvɔɹsənwɪndʒstədid	0.0000
Halvorsen Winge studied	hæɫvɔɹsənwɪndʒstədid	halvorsen + winge + sta + deed	hæɫvɔɹsənwɪndʒstədid	0.0000
defence formation	dɪfɛnsfɔɹmeɪʃən	defense + formation	dɪfɛnsfɔɹmeɪʃən	0.0000
defence formation	dɪfɛnsfɔɹmeɪʃən	defense + forr + mation	dɪfɛnsfɔɹmeɪʃən	0.0000
defence formation	dɪfɛnsfɔɹmeɪʃən	defense + four + mation	dɪfɛnsfɔɹmeɪʃən	0.0000
defence formation	dɪfɛnsfɔɹmeɪʃən	defense + faure + mation	dɪfɛnsfɔɹmeɪʃən	0.0000
Municipal Airport	mjunɪsəpəɫɛɹpɔɹt	municipal + eyre + port	mjunɪsəpəɫɛɹpɔɹt	0.0000
Municipal Airport	mjunɪsəpəɫɛɹpɔɹt	municipal + eyre + porte	mjunɪsəpəɫɛɹpɔɹt	0.0000
Municipal Airport	mjunɪsəpəɫɛɹpɔɹt	municipal + heir + port	mjunɪsəpəɫɛɹpɔɹt	0.0000
Municipal Airport	mjunɪsəpəɫɛɹpɔɹt	municipal + heir + porte	mjunɪsəpəɫɛɹpɔɹt	0.0000
Canadian ice hockey	kəneɪdiənaɪshɑki	canadians' + stocky	kəneɪdiənzstɑki	0.1111
Canadian ice hockey	kəneɪdiənaɪshɑki	canadians + stocky	kəneɪdiənzstɑki	0.1111
Canadian ice hockey	kəneɪdiənaɪshɑki	canadian's + stocky	kəneɪdiənzstɑki	0.1111
front row forward Ritter	fɹəntɹoʊfɔɹwɝdɹɪtɝ	front + roh + foreword + ritter	fɹəntɹoʊfɔɹwɝdɹɪtɝ	0.0000
front row forward Ritter	fɹəntɹoʊfɔɹwɝdɹɪtɝ	front + roh + forward + ritter	fɹəntɹoʊfɔɹwɝdɹɪtɝ	0.0000
front row forward Ritter	fɹəntɹoʊfɔɹwɝdɹɪtɝ	front + roh + foreword + deter	fɹəntɹoʊfɔɹwɝddɪtɝ	0.0185
front row forward Ritter	fɹəntɹoʊfɔɹwɝdɹɪtɝ	front + roh + foreword + ditter	fɹəntɹoʊfɔɹwɝddɪtɝ	0.0185
front row forward Ritter	fɹəntɹoʊfɔɹwɝdɹɪtɝ	front + roh + foreword + knitter	fɹəntɹoʊfɔɹwɝdnɪtɝ	0.0185
the London Stock	ðəɫəndənstɑk	the + london + staack	ðəɫəndənstɑk	0.0000
the London Stock	ðəɫəndənstɑk	the + london + stocke	ðəɫəndənstɑk	0.0000
the London Stock	ðəɫəndənstɑk	the + london + stokke	ðəɫəndənstɑk	0.0000
the London Stock	ðəɫəndənstɑk	the + lunden + staack	ðəɫəndənstɑk	0.0000
once operated as sheep	wənsɑpɝeɪtədæzʃip	once + operated + as + cheap	wənsɑpɝeɪtədæztʃip	0.0196
once operated as sheep	wənsɑpɝeɪtədæzʃip	once + operated + as + heap	wənsɑpɝeɪtədæzhip	0.0196
once operated as sheep	wənsɑpɝeɪtədæzʃip	once + operated + as + heape	wənsɑpɝeɪtədæzhip	0.0196
once operated as sheep	wənsɑpɝeɪtədæzʃip	once + operated + as + seep	wənsɑpɝeɪtədæzsip	0.0196
Orr does	ɔɹdəz	oar + does	ɔɹdəz	0.0000
Orr does	ɔɹdəz	ore + does	ɔɹdəz	0.0000
Orr does	ɔɹdəz	ohr + does	ɔɹdəz	0.0000
Orr does	ɔɹdəz	or + does	ɔɹdəz	0.0000
American Pathologists	əmɛɹɪkənpəθɑɫədʒəsts	um + ehrich + 'n + pathologists	əmɛɹɪkənpəθɑɫədʒəsts	0.0000
American Pathologists	əmɛɹɪkənpəθɑɫədʒəsts	um + eric + 'n + pathologists	əmɛɹɪkənpəθɑɫədʒəsts	0.0000
American Pathologists	əmɛɹɪkənpəθɑɫədʒəsts	um + erich + 'n + pathologists	əmɛɹɪkənpəθɑɫədʒəsts	0.0000
American Pathologists	əmɛɹɪkənpəθɑɫədʒəsts	um + erick + 'n + pathologists	əmɛɹɪkənpəθɑɫədʒəsts	0.0000
is rural locality village	ɪzɹʊɹəɫɫoʊkæɫətivɪɫɪdʒ	is + rural + locality + millage	ɪzɹʊɹəɫɫoʊkæɫətimɪɫɪdʒ	0.0238
is rural locality village	ɪzɹʊɹəɫɫoʊkæɫətivɪɫɪdʒ	is + rural + locality + milledge	ɪzɹʊɹəɫɫoʊkæɫətimɪɫɪdʒ	0.0238
is rural locality village	ɪzɹʊɹəɫɫoʊkæɫətivɪɫɪdʒ	is + rural + locality + pillage	ɪzɹʊɹəɫɫoʊkæɫətipɪɫɪdʒ	0.0357
for new streets	fɹɝnustɹits	for + gnu + street's	fɹɝnustɹits	0.0000
for new streets	fɹɝnustɹits	for + gnu + streets	fɹɝnustɹits	0.0000
for new streets	fɹɝnustɹits	for + new + street's	fɹɝnustɹits	0.0000
for new streets	fɹɝnustɹits	for + nu + street's	fɹɝnustɹits	0.0000
formats The song	fɔɹmætsðəsɔŋ	fore + matts + the + song	fɔɹmætsðəsɔŋ	0.0000
formats The song	fɔɹmætsðəsɔŋ	fore + matts + thus + aung	fɔɹmætsðəsɔŋ	0.0000
formats The song	fɔɹmætsðəsɔŋ	fore + matts + thus + ong	fɔɹmætsðəsɔŋ	0.0000
formats The song	fɔɹmætsðəsɔŋ	fore + matz + thus + aung	fɔɹmætsðəsɔŋ	0.0000
Martin Henry	mɑɹtənhɛnɹi	mahr + ton + henry	mɑɹtənhɛnɹi	0.0000
Martin Henry	mɑɹtənhɛnɹi	mahrt + 'n + henry	mɑɹtənhɛnɹi	0.0000
Martin Henry	mɑɹtənhɛnɹi	mar + tonne + henry	mɑɹtənhɛnɹi	0.0000
Martin Henry	mɑɹtənhɛnɹi	mahr + tonne + henry	mɑɹtənhɛnɹi	0.0000
Martin Henry	mɑɹtənhɛnɹi	maher + tonne + henry	mɑɹtənhɛnɹi	0.0000
Kentucky Livingston	kəntəkiɫɪvɪŋstən	kentucky + levingston	kəntəkiɫɪvɪŋstən	0.0000
Kentucky Livingston	kəntəkiɫɪvɪŋstən	kun + tuckey + levingston	kəntəkiɫɪvɪŋstən	0.0000
Kentucky Livingston	kəntəkiɫɪvɪŋstən	kun + tuckey + livingston	kəntəkiɫɪvɪŋstən	0.0000
Kentucky Livingston	kəntəkiɫɪvɪŋstən	kentucky + living + stun	kəntəkiɫɪvɪŋstən	0.0000
venue is the	vɛnjuɪzðə	venne + ewe + is + the	vɛnjuɪzðə	0.0000
venue is the	vɛnjuɪzðə	venne + you + is + the	vɛnjuɪzðə	0.0000
venue is the	vɛnjuɪzðə	venne + yoo + is + the	vɛnjuɪzðə	0.0000
venue is the	vɛnjuɪzðə	venne + yue + is + the	vɛnjuɪzðə	0.0000
abroad particularly dealing	əbɹɔdpɝtɪkjəɫɝɫidiɫɪŋ	abroad + particular + leidy + ling	əbɹɔdpɝtɪkjəɫɝɫidiɫɪŋ	0.0000
abroad particularly dealing	əbɹɔdpɝtɪkjəɫɝɫidiɫɪŋ	abroad + particular + leidy + lyng	əbɹɔdpɝtɪkjəɫɝɫidiɫɪŋ	0.0000
abroad particularly dealing	əbɹɔdpɝtɪkjəɫɝɫidiɫɪŋ	abroad + particular + lee + dealing	əbɹɔdpɝtɪkjəɫɝɫidiɫɪŋ	0.0000
abroad particularly dealing	əbɹɔdpɝtɪkjəɫɝɫidiɫɪŋ	abroad + particular + lea + dealing	əbɹɔdpɝtɪkjəɫɝɫidiɫɪŋ	0.0000
written for broad	ɹɪtənfɹɝbɹɔd	ryton + for + braud	ɹɪtənfɹɝbɹɔd	0.0000
written for broad	ɹɪtənfɹɝbɹɔd	ryton + for + braude	ɹɪtənfɹɝbɹɔd	0.0000
written for broad	ɹɪtənfɹɝbɹɔd	ryton + for + broad	ɹɪtənfɹɝbɹɔd	0.0000
written for broad	ɹɪtənfɹɝbɹɔd	written + for + braud	ɹɪtənfɹɝbɹɔd	0.0000
written for broad	ɹɪtənfɹɝbɹɔd	written + for + braude	ɹɪtənfɹɝbɹɔd	0.0000
front were	fɹəntwɝ	front + we're	fɹəntwɝ	0.0000
front were	fɹəntwɝ	brunt + we're	bɹəntwɝ	0.1071
front were	fɹəntwɝ	brunt + were	bɹəntwɝ	0.1071
front were	fɹəntwɝ	from + swor	fɹəmswɝ	0.1190
are provided Start	ɑɹpɹəvaɪdɪdstɑɹt	ahr + provided + start	ɑɹpɹəvaɪdɪdstɑɹt	0.0000
are provided Start	ɑɹpɹəvaɪdɪdstɑɹt	r + provided + start	ɑɹpɹəvaɪdɪdstɑɹt	0.0000
are provided Start	ɑɹpɹəvaɪdɪdstɑɹt	ar + provided + start	ɑɹpɹəvaɪdɪdstɑɹt	0.0000
are provided Start	ɑɹpɹəvaɪdɪdstɑɹt	are + provide + ihde + start	ɑɹpɹəvaɪdɪdstɑɹt	0.0000
on the Situation of	ɔnðəsɪtʃueɪʃənəv	aune + the + situation + of	ɔnðəsɪtʃueɪʃənəv	0.0000
on the Situation of	ɔnðəsɪtʃueɪʃənəv	aune + the + situational	ɔnðəsɪtʃueɪʃənəɫ	0.0556
on the Situation of	ɔnðəsɪtʃueɪʃənəv	on + the + situational	ɔnðəsɪtʃueɪʃənəɫ	0.0556
the region	ðəɹidʒən	the + ree + jun	ðəɹidʒən	0.0000
the region	ðəɹidʒən	the + reeh + jun	ðəɹidʒən	0.0000
